subj,time_pressure,model,ll,mape,mae,mse
s204,50,gcm_disc,-7.14921133641269,3.6963642444235,0.287302456527593,0.117324658730832
s204,50,gcm_disc_unidim,-9.63881209599111,4.67388220987479,0.31788528471094,0.155412357475968
s204,50,gcm_unidim,-8.79273886701906,4.16558748187328,0.262993961329465,0.133733786278277
s204,none,gcm,-5.80622132393281,2.36007150452803,0.245213280491575,0.0921299019719174
s204,none,gcm_disc,6.20997588352942,1.29047274001696,0.128845164621692,0.0352589307124619
s204,none,gcm_disc_unidim,-10.9102119653171,2.40820781439484,0.288709496039516,0.145735026732273
s204,none,gcm_unidim,-14.0416540107664,2.61891229883216,0.356990631824892,0.185494585193655
s205,50,gcm,8.06308257804668,0.312754377716769,0.123661164337673,0.0261806009783139
s205,50,gcm_disc,-6.61204120838712,0.833349906563469,0.29470244229476,0.106580361295553
s205,50,gcm_disc_unidim,-9.39389839492504,0.926611230503011,0.32348317185295,0.137438671947895
s205,50,gcm_unidim,-5.65715707171324,0.550614273719587,0.21680710117921,0.0977919274934408
s205,none,gcm,10.2216381596519,0.396795796834575,0.131067490961307,0.0249796979156424
s205,none,gcm_disc,-4.05826488126547,0.895461414775636,0.247698792220102,0.0820078885361175
s205,none,gcm_disc_unidim,-13.9543478981099,1.41586202378194,0.344378966902871,0.184984703181056
s205,none,gcm_unidim,-13.2443964066612,1.1987751837619,0.307802111136544,0.173183944866142
s206,50,gcm,-0.791344116940072,6007676771417.64,0.13503938135431,0.0418236113090398
s206,50,gcm_disc,5.55061261811166,1807166553796.25,0.106473627854599,0.0283005790882418
s206,50,gcm_disc_unidim,-14.1129373935486,7918693907677.44,0.309547591825002,0.210949154574645
s206,50,gcm_unidim,-14.1495983902907,8798782771402.66,0.308577325738769,0.21179201008185
s206,none,gcm,-2.68513927742385,1.67365067685683,0.195661639453934,0.0739156602685857
s206,none,gcm_disc,17.0477217006555,1.81364743481544,0.0995078490603142,0.0143906133147755
s206,none,gcm_disc_unidim,-11.1440842670571,3.37226321067581,0.271173764301226,0.149426789993562
s206,none,gcm_unidim,-12.6081061971243,2.16377495711577,0.302400614322959,0.168116989629161
s207,50,gcm,7.59444542028634,0.361193566118368,0.132416866801081,0.030101596031414
s207,50,gcm_disc,-2.28137374150325,0.6517484488382,0.229575634105768,0.0696743298589909
s207,50,gcm_disc_unidim,-8.9732130034858,0.862716548896971,0.289014831494709,0.123513811760619
s207,50,gcm_unidim,-7.92220702969415,0.723978927893681,0.257109188848323,0.115347825121983
s207,none,gcm,3.09887214077842,0.504036518210714,0.183381661579594,0.0453536469186157
s207,none,gcm_disc,-4.51191715953838,0.717855706267156,0.237049532215965,0.0854519251885615
s207,none,gcm_disc_unidim,-11.8165828466642,0.969244238572924,0.317665139354177,0.15654475838484
s207,none,gcm_unidim,-11.128335185965,0.877204638009257,0.306828666930997,0.149212487734931
s208,50,gcm,6.35063765438234,0.339415771203312,0.14388476295934,0.0292194145646152
s208,50,gcm_disc,1.31364430429094,0.459265458901887,0.185113632826313,0.0503039036996536
s208,50,gcm_disc_unidim,-6.7982132710084,0.694062766513108,0.266166607204592,0.115001880903797
s208,50,gcm_unidim,-8.58276639598546,0.75972172751959,0.305265801605754,0.137673167403579
s208,none,gcm,5.52188093731642,0.746123566164909,0.153012598347938,0.035892305815
s208,none,gcm_disc,-0.204576898543534,1.33123153517891,0.197852319411342,0.0601379932345253
s208,none,gcm_disc_unidim,-13.2738272576212,2.51346539877083,0.338013710710598,0.174666982095257
s208,none,gcm_unidim,-13.8116683508216,2.30326743958009,0.342340474954064,0.182771926269661
